repo,commit,pattern
openaustralia/infrastructure,63ee190c0ae1832bb72681e1e4b1b14a9367b4bb,Old generation
openinfrastructure/terraform-google-gitlab-runner,8429375df72b04cc6fedc1ebb5f2c2e4ba18b9f2,Spot instances
openinfrastructure/terraform-google-multinic,7a9c468b88d2edee19007cff6529a20a38eeb363,Spot instances
opszero/terraform-aws-kubespot,decc9706133af9978ada6cf58a1a63343468e8a0,Expensive network resource
pangeo-data/terraform-deploy,f8163bd52bea3774e2f160cff0523c602e65d933,Expensive instance
pangeo-data/terraform-deploy,7244eed07a1008675f45cc4349bf68141bb29edc,Expensive instance
pangeo-data/terraform-deploy,f8163bd52bea3774e2f160cff0523c602e65d933,Overprovisioned resources
paperphyte/terraform-drone,79f4b7c2cf3ad2d1a6d2646eaf27a08fd2611d07,Spot instances
paperphyte/terraform-drone,f62bfebb54530c9466cfdb21336794f24bcd63a7,Expensive network resource
patheard/terraform-cantrill-aws-associate,bc7484cd34698f2724e5d9f241fd9f53d953e3a3,Budget
pelias/terraform-elasticsearch,8454c8ee25e821abde10b73a2fec691269e41822,Expensive instance
pelias/terraform-elasticsearch,21c1827f4507eae217d43d99ad8cb1bbb1337e21,Old generation
phillhocking/aws-ubuntu-irssi,1532e0c298ec4f8d7d749a884f7c46f2a2cf53d3,Expensive storage type
phillhocking/aws-ubuntu-irssi,1532e0c298ec4f8d7d749a884f7c46f2a2cf53d3,Overprovisioned resources
poldi2015/chat-app,cb45bf17da799afaa789206e3fcd39d9403e0567,AWS - Expensive DynamoDB
poseidon/terraform-aws-kubernetes,e09126b45746f1c967d1990fa04ce781a0478c6d,Old generation
poseidon/terraform-aws-kubernetes,ef0372d2684ef920c6e54cf8b9f80d87db90e636,Expensive network resource
poseidon/terraform-azure-kubernetes,4989bf2d4a5eed7f1fcb01f63db5624afa113232,Expensive instance
poseidon/terraform-azure-kubernetes,633eb938742a43be09612b944c29aaaf70dac119,Old generation
poseidon/typhoon,8d2c8b8db692b27b89d18e47a40cf7b49562694e,Expensive instance
poseidon/typhoon,b68f8bb2a9f0825af76a563051c32100386024db,Expensive instance
pvandervelde/infrastructure.azure.core.network.hub,0ecf0a154918bd9bdc0f53557bc1f80920da6b14,Expensive network resource
rbabyuk/terra,beae899804779adf914c08f290c5d71b542c9ed1,Expensive instance
richardhughes/infra-modules,48015a86eda461d99b580b69db5922acbe5bd28e,Budget
rmaheshvarma/terraform,c866a7dd2575dd2a3f4af83f5f081a5004d0e478,Budget
robertdebock/git-terraform-demo,5638b1a044215292a5e3fa405b6a0567c6b35436,Expensive instance
robertdebock/git-terraform-demo,686374095321975d851932a77b139d627f50c7d5,Expensive instance
robertdebock/terraform-aws-vault,757edca9d6fb2231ebdcf03ec611183c59eaf39b,Expensive instance
robertdebock/terraform-aws-vault,e3b6520960a88aacbf03339dc1368f680a8bee9a,Old generation
robertdebock/terraform-aws-vault,4ddd02182a1f210bb9f614fbba5ef11b4fcbe827,Expensive network resource
robertdebock/terraform-azurerm-container-group,c0d6578f1ebbdcc9cab091017259e4d596bfe8c9,Overprovisioned resources
robertlupinek/rh-ex407,0c679d7adfa5bf38d5c7846958f3508fc036b3e9,Expensive network resource
robgmills/jumpbox,028bbe114d099b0388be9a46adcab80d9383a518,Budget
roysjosh/terraform-unifi,da9e2869456610a0228cb14f850c6eccddbb15e0,Overprovisioned resources
rshurts/gke-cd-with-spinnaker,3bc712aba0c797053b5cdc113e3e46afb6cff8a5,Expensive instance
rust-lang/simpleinfra,05370cc8f9852987e20cf5c659e5249dd1f2181c,Expensive monitoring
